#street_id;crown_height;trunk_height;LAI;tree_number
1;0.0;0.0;0.00;0
3;0.0;0.0;0.00;0
4;0.0;0.0;0.00;0
5;0.0;0.0;0.00;0
6;0.0;0.0;0.00;0
7;0.0;0.0;0.00;0
8;0.0;0.0;0.00;0
9;0.0;0.0;0.00;0
10;0.0;0.0;0.00;0
11;0.0;0.0;0.00;0
12;0.0;0.0;0.00;0
14;0.0;0.0;0.00;0
15;0.0;0.0;0.00;0
17;0.0;0.0;0.00;0
19;0.0;0.0;0.00;0
20;0.0;0.0;0.00;0
22;0.0;0.0;0.00;0
23;0.0;0.0;0.00;0
24;0.0;0.0;0.00;0
26;0.0;0.0;0.00;0
27;0.0;0.0;0.00;0
29;0.0;0.0;0.00;0
30;0.0;0.0;0.00;0
31;0.0;0.0;0.00;0
33;0.0;0.0;0.00;0
34;0.0;0.0;0.00;0
35;0.0;0.0;0.00;0
36;0.0;0.0;0.00;0
37;0.0;0.0;0.00;0
38;0.0;0.0;0.00;0
40;0.0;0.0;0.00;0
43;0.0;0.0;0.00;0
45;0.0;0.0;0.00;0
47;0.0;0.0;0.00;0
49;0.0;0.0;0.00;0
50;0.0;0.0;0.00;0
52;0.0;0.0;0.00;0
53;0.0;0.0;0.00;0
54;0.0;0.0;0.00;0
55;0.0;0.0;0.00;0
57;0.0;0.0;0.00;0
58;0.0;0.0;0.00;0
59;0.0;0.0;0.00;0
62;0.0;0.0;0.00;0
63;0.0;0.0;0.00;0
65;0.0;0.0;0.00;0
67;0.0;0.0;0.00;0
69;0.0;0.0;0.00;0
70;0.0;0.0;0.00;0
72;0.0;0.0;0.00;0
74;0.0;0.0;0.00;0
75;0.0;0.0;0.00;0
77;0.0;0.0;0.00;0
78;0.0;0.0;0.00;0
79;0.0;0.0;0.00;0
80;0.0;0.0;0.00;0
82;0.0;0.0;0.00;0
83;0.0;0.0;0.00;0
84;0.0;0.0;0.00;0
86;0.0;0.0;0.00;0
87;0.0;0.0;0.00;0
88;0.0;0.0;0.00;0
89;0.0;0.0;0.00;0
91;0.0;0.0;0.00;0
92;0.0;0.0;0.00;0
93;0.0;0.0;0.00;0
94;0.0;0.0;0.00;0
96;0.0;0.0;0.00;0
97;0.0;0.0;0.00;0
99;0.0;0.0;0.00;0
100;0.0;0.0;0.00;0
101;0.0;0.0;0.00;0
102;0.0;0.0;0.00;0
104;0.0;0.0;0.00;0
106;0.0;0.0;0.00;0
107;0.0;0.0;0.00;0
108;0.0;0.0;0.00;0
109;0.0;0.0;0.00;0
110;0.0;0.0;0.00;0
111;0.0;0.0;0.00;0
112;0.0;0.0;0.00;0
113;0.0;0.0;0.00;0
114;0.0;0.0;0.00;0
115;0.0;0.0;0.00;0
116;0.0;0.0;0.00;0
118;0.0;0.0;0.00;0
119;0.0;0.0;0.00;0
120;0.0;0.0;0.00;0
121;0.0;0.0;0.00;0
122;0.0;0.0;0.00;0
123;0.0;0.0;0.00;0
124;0.0;0.0;0.00;0
126;0.0;0.0;0.00;0
127;0.0;0.0;0.00;0
128;0.0;0.0;0.00;0
129;0.0;0.0;0.00;0
131;0.0;0.0;0.00;0
132;0.0;0.0;0.00;0
134;0.0;0.0;0.00;0
135;0.0;0.0;0.00;0
136;0.0;0.0;0.00;0
137;0.0;0.0;0.00;0
139;0.0;0.0;0.00;0
140;0.0;0.0;0.00;0
142;0.0;0.0;0.00;0
144;0.0;0.0;0.00;0
145;0.0;0.0;0.00;0
146;0.0;0.0;0.00;0
147;0.0;0.0;0.00;0
148;0.0;0.0;0.00;0
150;0.0;0.0;0.00;0
152;0.0;0.0;0.00;0
154;0.0;0.0;0.00;0
155;0.0;0.0;0.00;0
157;0.0;0.0;0.00;0
159;0.0;0.0;0.00;0
160;0.0;0.0;0.00;0
162;0.0;0.0;0.00;0
163;0.0;0.0;0.00;0
165;0.0;0.0;0.00;0
167;0.0;0.0;0.00;0
168;0.0;0.0;0.00;0
169;0.0;0.0;0.00;0
170;0.0;0.0;0.00;0
172;0.0;0.0;0.00;0
174;0.0;0.0;0.00;0
175;0.0;0.0;0.00;0
176;0.0;0.0;0.00;0
177;0.0;0.0;0.00;0
178;0.0;0.0;0.00;0
179;0.0;0.0;0.00;0
181;0.0;0.0;0.00;0
182;0.0;0.0;0.00;0
184;0.0;0.0;0.00;0
186;0.0;0.0;0.00;0
188;0.0;0.0;0.00;0
189;0.0;0.0;0.00;0
190;0.0;0.0;0.00;0
191;0.0;0.0;0.00;0
192;0.0;0.0;0.00;0
193;0.0;0.0;0.00;0
194;0.0;0.0;0.00;0
195;0.0;0.0;0.00;0
197;0.0;0.0;0.00;0
198;0.0;0.0;0.00;0
200;0.0;0.0;0.00;0
202;0.0;0.0;0.00;0
204;0.0;0.0;0.00;0
205;0.0;0.0;0.00;0
207;0.0;0.0;0.00;0
208;0.0;0.0;0.00;0
209;0.0;0.0;0.00;0
210;0.0;0.0;0.00;0
211;0.0;0.0;0.00;0
212;0.0;0.0;0.00;0
213;0.0;0.0;0.00;0
216;0.0;0.0;0.00;0
220;0.0;0.0;0.00;0
221;0.0;0.0;0.00;0
223;0.0;0.0;0.00;0
224;0.0;0.0;0.00;0
226;0.0;0.0;0.00;0
228;0.0;0.0;0.00;0
230;0.0;0.0;0.00;0
232;0.0;0.0;0.00;0
233;0.0;0.0;0.00;0
238;0.0;0.0;0.00;0
239;0.0;0.0;0.00;0
240;0.0;0.0;0.00;0
241;0.0;0.0;0.00;0
243;0.0;0.0;0.00;0
244;0.0;0.0;0.00;0
246;0.0;0.0;0.00;0
247;0.0;0.0;0.00;0
249;0.0;0.0;0.00;0
251;0.0;0.0;0.00;0
253;0.0;0.0;0.00;0
255;0.0;0.0;0.00;0
256;0.0;0.0;0.00;0
258;0.0;0.0;0.00;0
259;0.0;0.0;0.00;0
